5824448,15824529,21648977
5919599,15982398,21901997
6002133,16127094,22129227
6062177,16245905,22308082
6151612,16358786,22510398
6217480,16485093,22702573
6286749,16580850,22867599
6348751,16692664,23041415
6445217,16851513,23296730
6518690,16988760,23507450
6590320,17121614,23711934
6663331,17269985,23933316
6735117,17322506,24057623
6793916,17385060,24178976
6822259,17420748,24243007
6868368,17470214,24338582
6920292,17545566,24465858
6974263,17675664,24649927
7070246,17822969,24893215
7150561,17919293,25069854
7216823,18053240,25270063
7280951,18140853,25421804
7307986,18217409,25525395
7373951,18407145,25781096
7450057,18559807,26009864
7520353,18642808,26163161
7610788,18766991,26377779
7659675,18846107,26505782
7713405,18913429,26626834
7758351,18991546,26749897
7827783,19122067,26949850
7888143,19234994,27123137
7979339,19427419,27406758
8104223,19674517,27778740
8195994,19878915,28074909
8307882,20099206,28407088
8365134,20179474,28544608
8474752,20348261,28823013
8568887,20552530,29121417
8649858,20768925,29418783
8803778,21051692,29855470
8972278,21382100,30354378
9095738,21592842,30688580
