1785167330907,Play,bear
1785167332509,Exercise,alice
1785167332609,Walk,Bee
1785167332713,Dance,Ant
1785167332713,Sing,Bat
1785167333032,Walk,brice
1785167333241,Play,bear
1785167334635,Exercise,alice
1785167335055,Walk,Ant
1785167335055,Sing,Bat
1785167335156,Play,Bee
1785167335373,Walk,brice
1785167335580,Play,bear
1785167336956,Dance,alice
1785167337365,Sing,Ant
1785167337366,Play,Bat
1785167337677,Dance,brice
1785167337978,Explore,Bee
1785167338513,Explore,bear
1785167339680,Walk,Ant
1785167339681,Sing,Bat
1785167339783,Explore,alice
1785167340006,Sing,brice
1785167340324,Play,Bee
1785167341377,Explore,bear
1785167341999,Play,Ant
1785167342100,Sing,alice
1785167342532,Explore,Bat
1785167342634,Walk,Bee
1785167342850,Explore,brice
1785167343683,Sing,bear
1785167344314,Play,Ant
1785167344421,Dance,alice
1785167344845,Dance,Bat
1785167344946,Sing,Bee
1785167344947,Exercise,brice
1785167346023,Dance,bear
1785167346666,Dance,Ant
1785167347089,Exercise,Bee
1785167347192,Dance,Bat
1785167347306,Play,brice
1785167347426,Explore,alice
1785167348393,Play,bear
1785167348839,Exercise,Ant
1785167349495,Dance,Bee
1785167349599,Play,Bat
1785167349701,Dance,brice
1785167350465,Explore,alice
1785167350779,Walk,bear
1785167351195,Dance,Ant
1785167351304,Talk,Bee;brice
1785167351714,Exercise,Bat
1785167352771,Play,alice
1785167352874,Exercise,bear
1785167353709,Sing,Ant
1785167354128,Explore,Bee
1785167354128,Explore,brice
1785167354128,Walk,Bat
1785167354988,Exercise,alice
1785167355192,Walk,bear
1785167356361,Exercise,Bee
1785167356570,Explore,Ant
1785167356571,Sing,Bat
1785167356993,Explore,brice
1785167357319,Walk,alice
1785167357535,Sing,bear
1785167358694,Walk,Bee
1785167358695,Exercise,Bat
1785167359434,Explore,Ant
1785167359435,Walk,brice
1785167359645,Sing,alice
1785167359646,Exercise,bear
1785167361009,Sing,Bat
1785167361010,Walk,Bee
1785167361743,Play,Ant
1785167361744,Play,brice
1785167361954,Sing,alice
1785167362054,Play,bear
1785167363832,Explore,Bat
1785167363833,Explore,Bee
1785167364045,Play,Ant
1785167364145,Exercise,bear
1785167364262,Sing,alice
1785167364566,Explore,brice
1785167366265,Dance,Bee
1785167366587,Dance,alice
1785167366688,Explore,Bat
1785167366998,Explore,Ant
1785167366998,Explore,bear
1785167366999,Dance,brice
1785167368966,Walk,alice
1785167369078,Dance,Bat
1785167369181,Explore,Bee
1785167369386,Dance,Ant
1785167369387,Play,brice
1785167369710,Dance,bear
1785167370964,Fight,Bee;bear
1785167371365,Sing,Bat
1785167371672,Sing,brice
1785167371777,Explore,alice
1785167372196,Explore,Ant
1785167373246,Walk,bear
1785167373247,Walk,Bee
1785167373678,Sing,Bat
1785167374016,Sing,brice
1785167374120,Sing,alice
1785167374554,Play,Ant
1785167375401,Exercise,Bee
1785167375618,Play,bear
1785167376143,Play,Bat
1785167376358,Exercise,brice
1785167376576,Play,alice
1785167377512,Explore,Ant
1785167377728,Dance,Bee
1785167377948,Dance,bear
1785167378575,Sing,Bat
1785167378910,Walk,alice
1785167379420,Explore,brice
1785167379832,Sing,Ant
1785167380034,Exercise,bear
1785167380244,Play,Bee
1785167380899,Walk,Bat
1785167381010,Exercise,alice
1785167381736,Sing,brice
1785167382154,Walk,Ant
1785167382155,Exercise,bear
1785167382579,Sing,Bee
1785167382790,Fight,alice;bear
1785167383318,Play,Bat
1785167384265,Exercise,Ant
1785167384699,Explore,brice
1785167384699,Exercise,Bee
1785167385125,Walk,bear
1785167385647,Explore,alice
1785167385647,Walk,Bat
1785167386599,Dance,Ant
1785167387018,Walk,Bee
1785167387018,Dance,brice
1785167387964,Explore,bear
1785167387965,Play,Bat
1785167388477,Explore,alice
1785167389303,Walk,Bee
1785167389304,Play,brice
1785167389408,Explore,Ant
1785167390243,Walk,Bat
1785167390244,Walk,bear
1785167391302,Explore,alice
1785167391613,Dance,brice
1785167392142,Explore,Bee
1785167392243,Explore,Ant
1785167392567,Sing,bear
1785167393093,Explore,Bat
1785167393620,Sing,alice
1785167393942,Play,brice
1785167394898,Play,bear
1785167394998,Explore,Bee
1785167395203,Explore,Ant
1785167395427,Walk,Bat
1785167395969,Walk,alice
1785167396284,Sing,brice
1785167397142,Exercise,Bee
1785167397243,Play,bear
1785167397564,Sing,Ant
1785167398318,Explore,Bat
1785167398319,Dance,alice
1785167398631,Walk,brice
1785167399491,Play,Bee
1785167399491,Exercise,bear
1785167399910,Walk,Ant
1785167400432,Exercise,Bat
1785167400433,Talk,brice;bear
1785167401176,Explore,alice
1785167401815,Walk,Bee
1785167402236,Play,Ant
1785167402778,Walk,Bat
1785167402778,Dance,brice
1785167403297,Explore,bear
1785167404011,Explore,alice
1785167404124,Dance,Bee
1785167404561,Dance,Ant
1785167404866,Exercise,Bat
1785167405290,Sing,brice
1785167405603,Dance,bear
1785167405904,Talk,Bee;brice
1785167406115,Exercise,alice
1785167406844,Dance,Ant
1785167407165,Dance,Bat
1785167407386,Fight,bear;brice
1785167407712,Talk,Bee;alice
1785167408971,Exercise,Ant
1785167409687,Play,bear
1785167409797,Sing,brice
1785167410000,Sing,Bee
1785167410110,Explore,Bat
1785167410210,Play,alice
1785167411270,Dance,Ant
1785167412108,Walk,bear
1785167412108,Sing,brice
1785167412109,Exercise,Bee
1785167412548,Sing,alice
1785167412659,Dance,Bat
1785167413620,Play,Ant
1785167414244,Talk,Bee;Bat
1785167414458,Walk,bear
1785167414459,Sing,brice
1785167414879,Dance,alice
1785167416466,Explore,Ant
1785167416575,Walk,Bat
1785167416576,Dance,Bee
1785167416887,Play,brice
1785167417098,Exercise,alice
1785167417318,Explore,bear
1785167418786,Walk,Ant
1785167418887,Dance,Bee
1785167418999,Exercise,brice
1785167419109,Dance,Bat
1785167419645,Sing,alice
1785167420190,Explore,bear
1785167421144,Exercise,brice
1785167421356,Sing,Ant
1785167421357,Dance,Bee
1785167421464,Sing,Bat
1785167422008,Dance,alice
1785167422553,Dance,bear
1785167423503,Exercise,Bee
1785167423608,Walk,brice
1785167423714,Sing,Ant
1785167424358,Explore,Bat
1785167424359,Sing,alice
1785167424899,Walk,bear
1785167426021,Walk,brice
1785167426131,Sing,Ant
1785167426348,Explore,Bee
1785167426457,Exercise,Bat
1785167427206,Explore,alice
1785167427736,Explore,bear
1785167428378,Sing,brice
1785167428490,Walk,Ant
1785167428798,Sing,Bee
1785167429325,Explore,Bat
1785167429532,Fight,bear;Bee
1785167429636,Dance,alice
1785167430704,Walk,brice
1785167430804,Dance,Ant
1785167431853,Walk,Bee
1785167432068,Sing,alice
1785167432176,Explore,Bat
1785167432380,Explore,bear
1785167433124,Play,Ant
1785167433124,Walk,brice
1785167434153,Play,Bee
1785167434475,Play,alice
1785167434476,Play,Bat
1785167434689,Sing,bear
1785167435426,Sing,Ant
1785167435426,Walk,brice
1785167436286,Exercise,Bee
1785167436613,Exercise,Bat
1785167436829,Sing,alice
1785167437035,Play,bear
1785167437562,Exercise,Ant
1785167438299,Explore,brice
1785167438608,Dance,Bee
1785167439122,Play,alice
1785167439340,Sing,bear
1785167439554,Explore,Bat
1785167439981,Play,Ant
1785167440394,Exercise,brice
1785167440910,Walk,Bee
1785167441230,Talk,bear;Bat
1785167441541,Dance,alice
1785167442067,Exercise,Ant
1785167442486,Exercise,brice
1785167443106,Exercise,Bee
1785167443522,Walk,Bat
1785167443522,Walk,bear
1785167443831,Sing,alice
1785167444242,Fight,brice;Bee
1785167444345,Sing,Ant
1785167445583,Exercise,Bat
1785167445790,Dance,bear
1785167446319,Exercise,Bee
1785167446533,Walk,brice
1785167446635,Explore,alice
1785167446635,Sing,Ant
1785167447375,Fight,Bat;bear
1785167448555,Fight,alice;Bat
1785167448656,Sing,Bee
1785167448869,Play,brice
1785167448975,Dance,Ant
1785167449713,Dance,bear
1785167450350,Fight,alice;Ant
1785167450886,Sing,Bat
1785167451097,Sing,Bee
1785167451197,Dance,brice
1785167452050,Sing,bear
1785167452676,Sing,alice
1785167452676,Play,Ant
1785167452676,Fight,Bat;brice
1785167453418,Walk,Bee
1785167454452,Sing,bear
1785167454761,Exercise,brice
1785167454964,Sing,alice
1785167454964,Walk,Ant
1785167454964,Dance,Bat
1785167455920,Play,Bee
1785167456748,Walk,bear
1785167457177,Play,brice
1785167457284,Sing,alice
1785167457285,Play,Ant
1785167457285,Sing,Bat
1785167457716,Talk,Bee;bear
1785167459110,Fight,Ant;bear
1785167459432,Exercise,alice
1785167459545,Walk,brice
1785167459775,Dance,Bat
1785167460087,Dance,Bee
1785167461462,Dance,Ant
1785167461463,Sing,bear
1785167461675,Exercise,brice
1785167462310,Explore,alice
1785167462419,Play,Bee
1785167462743,Explore,Bat
1785167463475,Talk,brice;alice
1785167463575,Exercise,Ant
1785167463879,Dance,bear
1785167464722,Play,Bee
1785167465042,Play,Bat
1785167465932,Dance,Ant
1785167466255,Walk,bear
1785167466366,Explore,alice
1785167466367,Explore,brice
1785167466991,Exercise,Bee
1785167467514,Sing,Bat
1785167468364,Dance,Ant
1785167468475,Exercise,alice
1785167468575,Sing,bear
1785167468686,Sing,brice
1785167469316,Walk,Bee
1785167469833,Walk,Bat
1785167470146,Talk,Ant;Bee
1785167470786,Sing,alice
1785167470889,Walk,bear
1785167470998,Dance,brice
1785167472175,Play,Bat
1785167472497,Dance,Bee
1785167472609,Play,Ant
1785167472609,Talk,alice;bear
1785167473986,Explore,brice
1785167474301,Exercise,Bat
1785167474719,Exercise,alice
